year,region,annual_consumption_kwh,annual_cost_sar,winter_consumption_kwh,rest_of_year_consumption_kwh,winter_cost_sar,rest_of_year_cost_sar,average_cost_sar_per_kwh,winter_consumption_share_pct,selected_source,source_file,time_index,region_id,rest_to_winter_consumption_ratio,winter_to_rest_consumption_ratio,winter_cost_share_pct,consumption_lag_1,cost_lag_1,consumption_lag_2,cost_lag_2,consumption_rolling_mean_2,consumption_rolling_std_2,cost_rolling_mean_2,consumption_growth_lag_1_pct,cost_growth_lag_1_pct,winter_consumption_growth_lag_1_pct,rest_consumption_growth_lag_1_pct,region_historical_mean_consumption,region_historical_mean_cost,source_lineage
2019,Al-Bahah,2789681094,836616522,583781957,2205899137,153285758,683330764,0.299896831863463,20.9264764440491,GASTAT original workbook,HouseholdEnergyStatistics2019En.xlsx,2,0,3.77863534586767,0.264645806876709,18.3221050468329,3214577055,261429555,3078128993.36281,245063291.019225,3146353024.18141,96483349.6634156,253246423.009612,4.43282467795869,6.67838251608697,1.8743144312823,5.09560238588078,3146353024.18141,253246423.009612,GASTAT original workbook | HouseholdEnergyStatistics2019En.xlsx
2020,Al-Bahah,2303504309,507143229,469165147,1834339162,96607805,410535424,0.220161615074279,20.3674525446698,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,3,0,3.90979418170634,0.255767939059026,19.0494123702478,2789681094,836616522,3214577055,261429555,3002129074.5,300446815.321875,549023038.5,-13.2177874018951,220.016044857667,-9.51828801883975,-14.1467620169496,3027462380.7876,447703122.673075,GASTAT original workbook | HouseholdEnergyStatistics2020En.xlsx
2021,Al-Bahah,1832647730,403835002,367849699,1464798031,81175236,322659766,0.220356043002329,20.0720352841623,GASTAT original workbook,HouseholdEnergyStatistics2021En.xlsx,4,0,3.98205580970178,0.251126565721059,20.1010897019768,2303504309,507143229,2789681094,836616522,2546592701.5,343778901.528974,671879875.5,-17.4276832590528,-39.3816383415866,-19.633496483688,-16.8439240383999,2846472862.8407,462563149.254806,GASTAT original workbook | HouseholdEnergyStatistics2021En.xlsx
2022,Al-Bahah,2183105651.61369,469333091.577582,438511503.96312,1744594147.65057,95129436.7437526,374203654.833829,0.214984140245646,20.0865910286561,GASTAT original workbook,HouseholdEnergyStatistics2022En.xlsx,5,0,3.97844556387579,0.251354450863921,20.2690665650682,1832647730,403835002,2303504309,507143229,2068076019.5,332945879.977199,455489115.5,-20.4408811895997,-20.3706213733162,-21.5948368389777,-20.1457363313928,2643707836.27256,450817519.803845,GASTAT original workbook | HouseholdEnergyStatistics2022En.xlsx
2019,Al-Jouf,3265981960,1122461237,700853935,2565128025,178038911,944422326,0.343682620035048,21.459210233972,GASTAT original workbook,HouseholdEnergyStatistics2019En.xlsx,2,1,3.66000374243458,0.273223764338234,15.8614752234869,5643290091,827752089,5588687122.23086,296932616.553909,5615988606.61543,38610129.4895774,562342352.776955,0.977026760935318,178.767653956843,1.63821100787065,0.824575334519806,5615988606.61543,562342352.776955,GASTAT original workbook | HouseholdEnergyStatistics2019En.xlsx
2020,Al-Jouf,2593704416,641460900,503142337,2090562079,101309290,540151610,0.247314572949395,19.3985996976457,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,3,1,4.15501126672232,0.240673234272322,15.7935253730976,3265981960,1122461237,5643290091,827752089,4454636025.5,1681010700.40002,975106663,-42.1262790440521,35.6035523094886,-34.149481836377,-43.9803577087653,4832653057.74362,749048647.51797,GASTAT original workbook | HouseholdEnergyStatistics2020En.xlsx
2021,Al-Jouf,1495169225,354387934,263994514,1231174711,58868009,295519925,0.237021955825769,17.6564973105302,GASTAT original workbook,HouseholdEnergyStatistics2021En.xlsx,4,1,4.66363748376983,0.214424899765505,16.6111775690422,2593704416,641460900,3265981960,1122461237,2929843188,475372010.201837,881961068.5,-20.584239356913,-42.8522893392353,-28.2101002971468,-18.5006729245025,4272915897.30771,722151710.638477,GASTAT original workbook | HouseholdEnergyStatistics2021En.xlsx
2022,Al-Jouf,2507267037.83596,535676164.493551,577782031.280273,1929485006.55568,124274911.486813,411401253.006738,0.213649426411276,23.0442957435823,GASTAT original workbook,HouseholdEnergyStatistics2022En.xlsx,5,1,3.33946869597217,0.299448831847452,23.1996343545185,1495169225,354387934,2593704416,641460900,2044436820.5,776781682.928159,497924417,-42.3539083414199,-44.7529952332247,-47.5308487109086,-41.1079573590601,3717366562.84617,648598955.310782,GASTAT original workbook | HouseholdEnergyStatistics2022En.xlsx
2019,Al-Qassim,8292713388,2418167922,1937898085,6354815303,566546168,1851621754,0.291601531230926,23.3686851857709,GASTAT original workbook,HouseholdEnergyStatistics2019En.xlsx,2,2,3.27923091115496,0.304949552835179,23.4287355665286,10937520259,922177731,10384493122.6399,830002011.56299,10661006690.82,391049238.300396,876089871.281495,5.32550919750139,11.1054814509946,10.0167201877267,4.41852441236408,10661006690.82,876089871.281495,GASTAT original workbook | HouseholdEnergyStatistics2019En.xlsx
2020,Al-Qassim,10038115978,2197242924,1539416298,8498699680,338333822,1858909102,0.218889971864798,15.3357094236992,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,3,2,5.5207286625726,0.181135509661873,15.3981072508849,8292713388,2418167922,10937520259,922177731,9615116823.5,1870160873.41287,1670172826.5,-24.1810466026219,162.223630078094,4.69718798245731,-30.0636127258941,9871575589.87997,1390115888.18766,GASTAT original workbook | HouseholdEnergyStatistics2020En.xlsx
2021,Al-Qassim,10685966202,2405546724,1262290669,9423675533,277701619,2127845105,0.225112701886496,11.8126021095196,GASTAT original workbook,HouseholdEnergyStatistics2021En.xlsx,4,2,7.46553528789493,0.133948867889147,11.54422053953,10038115978,2197242924,8292713388,2418167922,9165414683,1234186007.28956,2307705423,21.0474245079505,-9.13604865857616,-20.5625770562645,33.7363758784289,9913210686.90998,1591897647.14075,GASTAT original workbook | HouseholdEnergyStatistics2021En.xlsx
