year,region_original,region,season,measure,unit,value,source_type,source_file,source_sheet,source_table,source_excel_row
2017,Al-Bahah,Al-Bahah,Rest of the year,Consumption,kWh,2444806140.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Al-Bahah,Al-Bahah,Rest of the year,Cost,SAR,202643571.97854495,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Al-Bahah,Al-Bahah,Winter,Consumption,kWh,633322853.3628119,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Al-Bahah,Al-Bahah,Winter,Cost,SAR,42419719.04067979,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Al-Jouf,Al-Jouf,Rest of the year,Consumption,kWh,4541531311.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Al-Jouf,Al-Jouf,Rest of the year,Cost,SAR,243302753.4213392,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Al-Jouf,Al-Jouf,Winter,Consumption,kWh,1047155811.2308588,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Al-Jouf,Al-Jouf,Winter,Cost,SAR,53629863.13256977,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Al Qassim,Al-Qassim,Rest of the year,Consumption,kWh,8702062275.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Al Qassim,Al-Qassim,Rest of the year,Cost,SAR,714747363.3142709,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2017,Al Qassim,Al-Qassim,Winter,Consumption,kWh,1682430847.639912,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
