year,region,annual_consumption_kwh
2019,Al-Bahah,2789681094
2019,Al-Jouf,3265981960
2019,Al-Qassim,8292713388
2019,Asir,13625748398
2019,Eastern Region,32484475163
2019,Hail,3861815623
2019,Jazan,9397564226
2019,Madinah,13323863197
2019,Makkah,49646990867
2019,Najran,3311651001
2019,Northern Borders,1846945350
2019,Riyadh,40748603259
2019,Tabuk,4895356711
2020,Al-Bahah,2303504309
2020,Al-Jouf,2593704416
2020,Al-Qassim,10038115978
2020,Asir,10832588845
2020,Eastern Region,25039529172
2020,Hail,4313963103
2020,Jazan,7805460602
2020,Madinah,12326096873
2020,Makkah,54697403161
2020,Najran,2789328989
2020,Northern Borders,1726942826
2020,Riyadh,53561194485
2020,Tabuk,4448465856
2021,Al-Bahah,1832647730
2021,Al-Jouf,1495169225
2021,Al-Qassim,10685966202
2021,Asir,5949106568
2021,Eastern Region,18541505095
2021,Hail,4313947564
2021,Jazan,5273035639
2021,Madinah,11038916270
2021,Makkah,54498273349
2021,Najran,2018166709
2021,Northern Borders,1544512407
2021,Riyadh,56274905515
2021,Tabuk,3862737062
2022,Al-Bahah,2183105651.61369
2022,Al-Jouf,2507267037.83596
2022,Al-Qassim,8362301784.14925
2022,Asir,8973079379.17529
2022,Eastern Region,25890673713.5296
2022,Hail,4470583610.30104
2022,Jazan,7837668188.78303
2022,Madinah,10720138906.4079
2022,Makkah,41763390208.7803
2022,Najran,2690828097.81257
2022,Northern Borders,2223252267.97428
2022,Riyadh,48810487307.0705
2022,Tabuk,4872332817.51555
