year,region,annual_consumption_kwh
2019,Al-Bahah,2789681094
2019,Al-Jouf,3265981960
2019,Al-Qassim,8292713388
2019,Asir,13625748398
2019,Eastern Region,32484475163
2019,Hail,3861815623
2019,Jazan,9397564226
2019,Madinah,13323863197
2019,Makkah,49646990867
2019,Najran,3311651001
2019,Northern Borders,1846945350
2019,Riyadh,40748603259
2019,Tabuk,4895356711
2020,Al-Bahah,2303504309
2020,Al-Jouf,2593704416
2020,Al-Qassim,10038115978
2020,Asir,10832588845
2020,Eastern Region,25039529172
2020,Hail,4313963103
2020,Jazan,7805460602
2020,Madinah,12326096873
2020,Makkah,54697403161
2020,Najran,2789328989
2020,Northern Borders,1726942826
2020,Riyadh,53561194485
2020,Tabuk,4448465856
