year,region,winter_consumption_kwh,rest_of_year_consumption_kwh,winter_cost_sar,rest_of_year_cost_sar,selected_source,source_file,source_sheet,selection_justification,corroborating_source,annual_consumption_kwh,annual_cost_sar,average_cost_sar_per_kwh,winter_consumption_share_pct,geographic_resolution,temporal_resolution
2017,Al-Bahah,633322853.3628119,2444806140.0,42419719.04067979,202643571.97854495,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,3078128993.362812,245063291.01922473,0.07961436689223884,20.57492894964469,Administrative region,Annual
2017,Al-Jouf,1047155811.2308588,4541531311.0,53629863.13256977,243302753.4213392,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,5588687122.230859,296932616.553909,0.05313101450477715,18.73706271845938,Administrative region,Annual
2017,Al-Qassim,1682430847.639912,8702062275.0,115254648.24871904,714747363.3142709,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,10384493122.639912,830002011.56299,0.07992706064328246,16.201376685126156,Administrative region,Annual
2017,Asir,4146428088.81415,20464106366.0,275512194.7045303,1969645445.2545493,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,24610534454.814148,2245157639.9590797,0.09122750438765449,16.848183839433254,Administrative region,Annual
2017,Eastern Region,5262775051.688831,30727730092.0,359183064.6755376,3165695573.42404,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,35990505143.68883,3524878638.0995774,0.09793912655648536,14.622676260523933,Administrative region,Annual
2017,Hail,1056543108.964022,3925871299.0,73455021.09765667,321251274.1050998,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,4982414407.964022,394706295.20275646,0.07921988475544058,21.20544423754106,Administrative region,Annual
2017,Jazan,2324786700.582149,12330297464.0,149979130.84358788,1136274518.6838713,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,14655084164.58215,1286253649.5274591,0.08776842460147913,15.863345951984398,Administrative region,Annual
2017,Madinah,2458903536.478258,12934995238.0,161679183.34053198,1155048654.4745312,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,15393898774.478258,1316727837.8150632,0.08553569547943782,15.973234412551196,Administrative region,Annual
2017,Makkah,10225556784.386744,54951107564.0,673039064.4824653,5151689960.917025,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,65176664348.38674,5824729025.39949,0.08936832045077901,15.688984526315124,Administrative region,Annual
2017,Najran,767280686.2692041,4024055708.0,54296994.89760524,451502210.43434113,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,4791336394.269204,505799205.3319464,0.10556537126821652,16.013918104079046,Administrative region,Annual
2017,Northern Borders,461492447.338097,1680672755.0,28935953.668130457,124393718.41279708,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,2142165202.338097,153329672.08092755,0.07157695957042606,21.54327065132019,Administrative region,Annual
2017,Riyadh,9656113094.576937,58311208859.0,646321544.558405,5000680818.49279,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,67967321953.576935,5647002363.051195,0.08308407924190706,14.20699362139391,Administrative region,Annual
2017,Tabuk,1111825199.1694949,4585245842.0,73810717.035593,360078967.36779565,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,5697071041.169495,433889684.4033886,0.07616013233254676,19.51573345557684,Administrative region,Annual
2018,Al-Bahah,645193315.0,2569383740.0,44982179.0,216447376.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,3214577055.0,261429555.0,0.08132626797462163,20.070861701587052,Administrative region,Annual
2018,Al-Jouf,1064310433.0,4578979658.0,117615170.0,710136919.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,5643290091.0,827752089.0,0.14667898967662693,18.85975053271455,Administrative region,Annual
2018,Al-Qassim,1850955238.0,9086565021.0,124437945.0,797739786.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,10937520259.0,922177731.0,0.0843132363792589,16.922987973228494,Administrative region,Annual
2018,Asir,4195317852.0,20584881000.0,388496914.0,2808175606.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,24780198852.0,3196672520.0,0.12900108425651305,16.930121816441346,Administrative region,Annual
2018,Eastern Region,5317397646.0,30824335850.0,395266313.0,3099368423.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,36141733496.0,3494634736.0,0.09669250470198863,14.712624801432131,Administrative region,Annual
2018,Hail,1062374669.0,4155945546.0,87337222.0,387834754.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,5218320215.0,475171976.0,0.091058416582816,20.35855649383525,Administrative region,Annual
2018,Jazan,2356158024.0,12394795178.0,209266763.0,1613227580.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,14750953202.0,1822494343.0,0.12355095416836508,15.972920473237902,Administrative region,Annual
2018,Madinah,2476853485.0,13002433159.0,160472919.0,1142518355.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,15479286644.0,1302991274.0,0.08417644197480241,16.001082879100665,Administrative region,Annual
2018,Makkah,10494999897.0,55099747098.0,714318115.0,5583934956.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,65594746995.0,6298253071.0,0.0960176440878732,15.999756653989364,Administrative region,Annual
2018,Najran,779758990.0,4049575094.0,56837010.0,406724274.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,4829334084.0,463561284.0,0.09598865515140452,16.146304571957625,Administrative region,Annual
2018,Northern Borders,464963984.0,1751695471.0,34654249.0,160173685.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,2216659455.0,194827934.0,0.08789258700092027,20.975887069671693,Administrative region,Annual
2018,Riyadh,9687768245.0,58643764566.0,704968500.0,6788343838.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,68331532811.0,7493312338.0,0.10966111880917338,14.17759538893362,Administrative region,Annual
2018,Tabuk,1119707072.0,4777892250.0,76501190.0,408817758.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,5897599322.0,485318948.0,0.08229093254768928,18.985811189700893,Administrative region,Annual
2019,Al-Bahah,583781957.0,2205899137.0,153285758.0,683330764.0,GASTAT original workbook,HouseholdEnergyStatistics2019En.xlsx,76,Original GASTAT publication selected; independent supplied CSV agrees within tolerance.,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,2789681094.0,836616522.0,0.29989683186346316,20.926476444049054,Administrative region,Annual
2019,Al-Jouf,700853935.0,2565128025.0,178038911.0,944422326.0,GASTAT original workbook,HouseholdEnergyStatistics2019En.xlsx,76,Original GASTAT publication selected; independent supplied CSV agrees within tolerance.,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,3265981960.0,1122461237.0,0.34368262003504757,21.45921023397202,Administrative region,Annual
2019,Al-Qassim,1937898085.0,6354815303.0,566546168.0,1851621754.0,GASTAT original workbook,HouseholdEnergyStatistics2019En.xlsx,76,Original GASTAT publication selected; independent supplied CSV agrees within tolerance.,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,8292713388.0,2418167922.0,0.29160153123092597,23.368685185770946,Administrative region,Annual
2019,Asir,2996611212.0,10629137186.0,675309400.0,3494972760.0,GASTAT original workbook,HouseholdEnergyStatistics2019En.xlsx,76,Original GASTAT publication selected; independent supplied CSV agrees within tolerance.,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,13625748398.0,4170282160.0,0.3060589435668809,21.992268787524694,Administrative region,Annual
2019,Eastern Region,4294128877.0,28190346286.0,952025741.0,10377046409.0,GASTAT original workbook,HouseholdEnergyStatistics2019En.xlsx,76,Original GASTAT publication selected; independent supplied CSV agrees within tolerance.,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,32484475163.0,11329072150.0,0.3487534304664979,13.219018794217853,Administrative region,Annual
2019,Hail,931962566.0,2929853057.0,236304535.0,652352964.0,GASTAT original workbook,HouseholdEnergyStatistics2019En.xlsx,76,Original GASTAT publication selected; independent supplied CSV agrees within tolerance.,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,3861815623.0,888657499.0,0.2301139116293849,24.132756635233076,Administrative region,Annual
2019,Jazan,2287978519.0,7109585707.0,583000149.0,1840470440.0,GASTAT original workbook,HouseholdEnergyStatistics2019En.xlsx,76,Original GASTAT publication selected; independent supplied CSV agrees within tolerance.,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,9397564226.0,2423470589.0,0.2578828439708926,24.346505796362727,Administrative region,Annual
2019,Madinah,2896966402.0,10426896795.0,619823275.0,2932372309.0,GASTAT original workbook,HouseholdEnergyStatistics2019En.xlsx,76,Original GASTAT publication selected; independent supplied CSV agrees within tolerance.,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,13323863197.0,3552195584.0,0.26660402703622865,21.74269098359011,Administrative region,Annual
2019,Makkah,9811340713.0,39835650154.0,2019019112.0,10470931097.0,GASTAT original workbook,HouseholdEnergyStatistics2019En.xlsx,76,Original GASTAT publication selected; independent supplied CSV agrees within tolerance.,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,49646990867.0,12489950209.0,0.25157517083884295,19.76220621161861,Administrative region,Annual
2019,Najran,743954708.0,2567696293.0,168123136.0,620378720.0,GASTAT original workbook,HouseholdEnergyStatistics2019En.xlsx,76,Original GASTAT publication selected; independent supplied CSV agrees within tolerance.,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,3311651001.0,788501856.0,0.23809932138437917,22.464767808424025,Administrative region,Annual
2019,Northern Borders,476021255.0,1370924095.0,142002715.0,298024935.0,GASTAT original workbook,HouseholdEnergyStatistics2019En.xlsx,76,Original GASTAT publication selected; independent supplied CSV agrees within tolerance.,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,1846945350.0,440027650.0,0.23824616683974975,25.773434768928055,Administrative region,Annual
2019,Riyadh,8929603334.0,31818999925.0,1952659947.0,9479283407.0,GASTAT original workbook,HouseholdEnergyStatistics2019En.xlsx,76,Original GASTAT publication selected; independent supplied CSV agrees within tolerance.,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,40748603259.0,11431943354.0,0.2805481032402029,21.91388813315399,Administrative region,Annual
2019,Tabuk,1149529403.0,3745827308.0,234601401.0,743893993.0,GASTAT original workbook,HouseholdEnergyStatistics2019En.xlsx,76,Original GASTAT publication selected; independent supplied CSV agrees within tolerance.,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,4895356711.0,978495394.0,0.19988234806286825,23.482035546398,Administrative region,Annual
2020,Al-Bahah,469165147.0,1834339162.0,96607805.0,410535424.0,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,25,Original GASTAT publication selected; independent supplied CSV agrees within tolerance.,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,2303504309.0,507143229.0,0.22016161507427856,20.367452544669842,Administrative region,Annual
2020,Al-Jouf,503142337.0,2090562079.0,101309290.0,540151610.0,GASTAT original workbook,HouseholdEnergyStatistics2020En.xlsx,25,Original GASTAT publication selected; independent supplied CSV agrees within tolerance.,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,2593704416.0,641460900.0,0.24731457294939502,19.398599697645732,Administrative region,Annual
