year,region,season,consumption_kwh,cost_sar,selected_source,source_file,source_sheet,selection_justification,corroborating_source,geographic_resolution,temporal_resolution
2017,Al-Bahah,Rest of the year,2444806140.0,202643571.97854495,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2017,Al-Bahah,Winter,633322853.3628119,42419719.04067979,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2017,Al-Jouf,Rest of the year,4541531311.0,243302753.4213392,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2017,Al-Jouf,Winter,1047155811.2308588,53629863.13256977,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2017,Al-Qassim,Rest of the year,8702062275.0,714747363.3142709,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2017,Al-Qassim,Winter,1682430847.639912,115254648.24871904,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2017,Asir,Rest of the year,20464106366.0,1969645445.2545493,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2017,Asir,Winter,4146428088.81415,275512194.7045303,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2017,Eastern Region,Rest of the year,30727730092.0,3165695573.42404,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2017,Eastern Region,Winter,5262775051.688831,359183064.6755376,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2017,Hail,Rest of the year,3925871299.0,321251274.1050998,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2017,Hail,Winter,1056543108.964022,73455021.09765667,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2017,Jazan,Rest of the year,12330297464.0,1136274518.6838713,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2017,Jazan,Winter,2324786700.582149,149979130.84358788,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2017,Madinah,Rest of the year,12934995238.0,1155048654.4745312,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2017,Madinah,Winter,2458903536.478258,161679183.34053198,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2017,Makkah,Rest of the year,54951107564.0,5151689960.917025,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2017,Makkah,Winter,10225556784.386744,673039064.4824653,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2017,Najran,Rest of the year,4024055708.0,451502210.43434113,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2017,Najran,Winter,767280686.2692041,54296994.89760524,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2017,Northern Borders,Rest of the year,1680672755.0,124393718.41279708,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2017,Northern Borders,Winter,461492447.338097,28935953.668130457,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2017,Riyadh,Rest of the year,58311208859.0,5000680818.49279,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2017,Riyadh,Winter,9656113094.576937,646321544.558405,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2017,Tabuk,Rest of the year,4585245842.0,360078967.36779565,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2017,Tabuk,Winter,1111825199.1694949,73810717.035593,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2018,Al-Bahah,Rest of the year,2569383740.0,216447376.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2018,Al-Bahah,Winter,645193315.0,44982179.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2018,Al-Jouf,Rest of the year,4578979658.0,710136919.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2018,Al-Jouf,Winter,1064310433.0,117615170.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
2018,Al-Qassim,Rest of the year,9086565021.0,797739786.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,CSV selected because it is the only supplied authoritative source for 2017–2018; publisher/provenance metadata should be completed in the source registry.,,Administrative region,Annual with two seasonal components
