السنة,الوحدة,مصدر البيانات,القطاع,أعداد المستخدمين
2017,مستهلك,الشركة السعودية للكهرباء,سكني," 7,089,000 "
2017,مستهلك,الشركة السعودية للكهرباء,تجاري," 1,569,000 "
2017,مستهلك,الشركة السعودية للكهرباء,حكومي," 269,000 "
2017,مستهلك,الشركة السعودية للكهرباء,صناعي," 11,000 "
2017,مستهلك,الشركة السعودية للكهرباء,أخرى," 113,000 "
2018,مستهلك,الشركة السعودية للكهرباء,سكني," 7,406,000 "
2018,مستهلك,الشركة السعودية للكهرباء,تجاري," 1,608,000 "
2018,مستهلك,الشركة السعودية للكهرباء,حكومي," 274,000 "
2018,مستهلك,الشركة السعودية للكهرباء,صناعي," 11,000 "
2018,مستهلك,الشركة السعودية للكهرباء,أخرى," 115,000 "
2019,مستهلك,الشركة السعودية للكهرباء,سكني," 7,713,000 "
2019,مستهلك,الشركة السعودية للكهرباء,تجاري," 1,635,000 "
2019,مستهلك,الشركة السعودية للكهرباء,حكومي," 279,000 "
2019,مستهلك,الشركة السعودية للكهرباء,صناعي," 12,000 "
2019,مستهلك,الشركة السعودية للكهرباء,أخرى," 120,000 "
2020,مستهلك,الشركة السعودية للكهرباء,سكني," 8,047,000 "
2020,مستهلك,الشركة السعودية للكهرباء,تجاري," 1,659,000 "
2020,مستهلك,الشركة السعودية للكهرباء,حكومي," 282,000 "
2020,مستهلك,الشركة السعودية للكهرباء,صناعي," 12,000 "
2020,مستهلك,الشركة السعودية للكهرباء,أخرى," 122,000 "
2021,مستهلك,الشركة السعودية للكهرباء,سكني," 8,407,000 "
2021,مستهلك,الشركة السعودية للكهرباء,تجاري," 1,674,000 "
2021,مستهلك,الشركة السعودية للكهرباء,حكومي," 282,000 "
2021,مستهلك,الشركة السعودية للكهرباء,صناعي," 13,000 "
2021,مستهلك,الشركة السعودية للكهرباء,أخرى," 126,000 "
2022,مستهلك,الشركة السعودية للكهرباء,سكني," 8,778,000 "
2022,مستهلك,الشركة السعودية للكهرباء,تجاري," 1,703,000 "
2022,مستهلك,الشركة السعودية للكهرباء,حكومي," 284,000 "
2022,مستهلك,الشركة السعودية للكهرباء,صناعي," 13,000 "
2022,مستهلك,الشركة السعودية للكهرباء,أخرى," 130,000 "
