Year;Region;Value (MWh/Customer)
2005;Western area;27.4
2006;Southern area;19.6
2009;Eastern area;60.7
2010;Southern area;22.0
2011;Southern area;21.4
2013;Central area;32.3
2013;Eastern area;61.8
2014;Western area;33.2
2014;Southern area;24.4
2016;Central area;32.0
2018;Eastern area;50.0
2019;Central area;27.0
2019;Eastern area;48.0
2006;Western area;27.6
2007;Central area;32.0
2007;Eastern area;59.6
2007;Southern area;19.7
2009;Southern area;20.9
2010;Western area;31.3
2010;Eastern area;63.1
2013;Southern area;24.1
2014;Central area;33.3
2014;Eastern area;60.7
2017;Central area;31.0
2017;Eastern area;51.0
2005;Central area;29.4
2005;Eastern area;66.2
2007;Western area;28.3
2008;Southern area;19.9
2009;Central area;32.7
2012;Southern area;22.5
2015;Central area;34.1
2015;Southern area;24.3
2016;Eastern area;52.0
2020;Eastern area;46.0
2008;Western area;29.3
2008;Eastern area;59.8
2009;Western area;29.9
2011;Western area;29.6
2012;Western area;31.8
2013;Western area;33.0
2015;Western area;33.1
2016;Western area;32.0
2016;Southern area;23.0
2017;Western area;30.0
2018;Central area;28.0
2018;Western area;30.0
2019;Western area;27.0
2020;Central area;27.0
2020;Southern area;20.0
2005;Southern area;18.5
2006;Central area;31.1
2006;Eastern area;64.7
2008;Central area;32.9
2010;Central area;33.7
2011;Central area;33.7
2011;Eastern area;62.1
2012;Central area;34.0
2012;Eastern area;62.0
2015;Eastern area;55.9
2017;Southern area;22.0
2018;Southern area;21.0
2019;Southern area;20.0
2020;Western area;25.0
