Year;Classification;regoin ;Company;Value
2005;Customers numbers;Eastern area;SEC;805488.0
2006;Customers numbers;Western area;SEC;1919760.0
2008;Customers numbers;Southern area;SEC;704140.0
2011;Customers numbers;Western area;SEC;2365593.0
2014;Customers numbers;Southern area;SEC;1048404.0
2015;Customers numbers;Eastern area;SEC;1455418.0
2015;Customers numbers;Southern area;SEC;1119219.0
2019;Customers numbers;Southern area;SEC;1438077.0
2005;Customers numbers;Western area;MARAFIQ;12472.0
2007;Customers numbers;Central area;MARAFIQ;0.0
2010;Customers numbers;Central area;MARAFIQ;0.0
2014;Customers numbers;Southern area;MARAFIQ;0.0
2016;Customers numbers;Southern area;MARAFIQ;0.0
2018;Customers numbers;Western area;MARAFIQ;20002.0
2019;Customers numbers;Southern area;MARAFIQ;
2008;Energy sales(GWh);Western area;SEC;55465.0
2007;Customers numbers;Southern area;SEC;662538.0
2013;Customers numbers;Eastern area;SEC;1272524.0
2016;Customers numbers;Southern area;SEC;1203944.0
2016;Customers numbers;Western area;SEC;3045577.0
2017;Customers numbers;Central area;SEC;2918041.0
2017;Customers numbers;Eastern area;SEC;1622515.0
2017;Customers numbers;Western area;SEC;3212644.0
2006;Customers numbers;Western area;MARAFIQ;13095.0
2013;Customers numbers;Southern area;MARAFIQ;0.0
2019;Customers numbers;Western area;MARAFIQ;
2009;Energy sales(GWh);Central area;SEC;58584.0
2010;Energy sales(GWh);Southern area;SEC;17604.0
2011;Energy sales(GWh);Central area;SEC;67663.0
2013;Energy sales(GWh);Western area;SEC;80192.0
2014;Energy sales(GWh);Central area;SEC;82318.0
2014;Energy sales(GWh);Southern area;SEC;25560.0
2015;Energy sales(GWh);Eastern area;SEC;81352.0
2016;Energy sales(GWh);Eastern area;SEC;80664.0
2016;Energy sales(GWh);Southern area;SEC;27948.0
2017;Energy sales(GWh);Central area;SEC;90800.0
2018;Energy sales(GWh);Western area;SEC;91902.0
2019;Energy sales(GWh);Western area;SEC;84353.0
2005;Energy sales(GWh);Eastern area;MARAFIQ;0.0
2011;Energy sales(GWh);Central area;MARAFIQ;0.0
2012;Energy sales(GWh);Southern area;MARAFIQ;0.0
2013;Energy sales(GWh);Southern area;MARAFIQ;0.0
2013;Energy sales(GWh);Western area;MARAFIQ;5997.0
2014;Energy sales(GWh);Southern area;MARAFIQ;0.0
2015;Energy sales(GWh);Western area;MARAFIQ;8575.0
2016;Energy sales(GWh);Southern area;MARAFIQ;0.0
2016;Energy sales(GWh);Western area;MARAFIQ;8981.0
2018;Energy sales(GWh);Eastern area;MARAFIQ;0.0
2019;Energy sales(GWh);Southern area;MARAFIQ;
2019;Energy sales(GWh);Western area;MARAFIQ;
2005;Customers numbers;Southern area;SEC;595766.0
2011;Customers numbers;Central area;SEC;2009211.0
2012;Customers numbers;Southern area;SEC;912926.0
2017;Customers numbers;Southern area;SEC;1296512.0
2007;Customers numbers;Eastern area;MARAFIQ;0.0
2007;Customers numbers;Southern area;MARAFIQ;0.0
2008;Customers numbers;Central area;MARAFIQ;0.0
2008;Customers numbers;Western area;MARAFIQ;13888.0
2009;Customers numbers;Central area;MARAFIQ;0.0
2009;Customers numbers;Eastern area;MARAFIQ;0.0
2009;Customers numbers;Western area;MARAFIQ;14657.0
2012;Customers numbers;Western area;MARAFIQ;15647.0
2013;Customers numbers;Western area;MARAFIQ;16552.0
2015;Customers numbers;Eastern area;MARAFIQ;0.0
2015;Customers numbers;Southern area;MARAFIQ;0.0
2016;Customers numbers;Central area;MARAFIQ;0.0
2005;Energy sales(GWh);Eastern area;SEC;53350.0
2006;Energy sales(GWh);Eastern area;SEC;54690.0
2010;Energy sales(GWh);Eastern area;SEC;65803.0
2010;Energy sales(GWh);Western area;SEC;65109.0
2013;Energy sales(GWh);Southern area;SEC;23557.0
2015;Energy sales(GWh);Central area;SEC;90211.0
2015;Energy sales(GWh);Southern area;SEC;27218.0
2015;Energy sales(GWh);Western area;SEC;87255.0
2017;Energy sales(GWh);Western area;SEC;87354.0
2018;Energy sales(GWh);Southern area;SEC;28786.0
2019;Energy sales(GWh);Southern area;SEC;28941.0
2006;Energy sales(GWh);Western area;MARAFIQ;5705.0
2007;Energy sales(GWh);Southern area;MARAFIQ;0.0
2008;Energy sales(GWh);Western area;MARAFIQ;6066.0
2009;Energy sales(GWh);Southern area;MARAFIQ;0.0
2010;Energy sales(GWh);Eastern area;MARAFIQ;0.0
2011;Energy sales(GWh);Western area;MARAFIQ;5848.0
2012;Energy sales(GWh);Eastern area;MARAFIQ;0.0
2014;Energy sales(GWh);Western area;MARAFIQ;6651.0
2016;Energy sales(GWh);Central area;MARAFIQ;0.0
2018;Energy sales(GWh);Central area;MARAFIQ;0.0
2018;Energy sales(GWh);Western area;MARAFIQ;9259.0
2019;Energy sales(GWh);Eastern area;MARAFIQ;
2005;Customers numbers;Western area;SEC;1827747.0
2006;Customers numbers;Central area;SEC;1560735.0
2006;Customers numbers;Southern area;SEC;630590.0
2007;Customers numbers;Eastern area;SEC;885785.0
2007;Customers numbers;Western area;SEC;2005859.0
2009;Customers numbers;Southern area;SEC;754776.0
2010;Customers numbers;Southern area;SEC;801659.0
2012;Customers numbers;Eastern area;SEC;1190022.0
2015;Customers numbers;Central area;SEC;2644736.0
2005;Customers numbers;Central area;MARAFIQ;0.0
2010;Customers numbers;Eastern area;SEC;1043249.0
2011;Customers numbers;Eastern area;SEC;1114563.0
2013;Customers numbers;Western area;SEC;2597494.0
2019;Customers numbers;Eastern area;SEC;1733854.0
2012;Customers numbers;Central area;MARAFIQ;0.0
2012;Customers numbers;Eastern area;MARAFIQ;0.0
2012;Customers numbers;Southern area;MARAFIQ;0.0
2013;Customers numbers;Central area;MARAFIQ;0.0
2014;Customers numbers;Central area;MARAFIQ;0.0
2005;Energy sales(GWh);Southern area;SEC;11010.0
2006;Energy sales(GWh);Western area;SEC;47621.0
2008;Energy sales(GWh);Eastern area;SEC;55648.0
2009;Energy sales(GWh);Eastern area;SEC;59809.0
2011;Energy sales(GWh);Eastern area;SEC;69225.0
2012;Energy sales(GWh);Central area;SEC;72973.0
2012;Energy sales(GWh);Western area;SEC;73066.0
2013;Energy sales(GWh);Central area;SEC;74282.0
2013;Energy sales(GWh);Eastern area;SEC;78655.0
2014;Energy sales(GWh);Western area;SEC;84264.0
2018;Energy sales(GWh);Eastern area;SEC;83883.0
2005;Energy sales(GWh);Western area;MARAFIQ;5643.0
2006;Energy sales(GWh);Central area;MARAFIQ;0.0
2010;Energy sales(GWh);Central area;MARAFIQ;0.0
2011;Energy sales(GWh);Southern area;MARAFIQ;0.0
2014;Energy sales(GWh);Central area;MARAFIQ;0.0
2018;Energy sales(GWh);Southern area;MARAFIQ;0.0
2007;Customers numbers;Central area;SEC;1628357.0
2009;Customers numbers;Eastern area;SEC;985377.0
2016;Customers numbers;Central area;SEC;2795226.0
2014;Customers numbers;Eastern area;MARAFIQ;0.0
2016;Customers numbers;Eastern area;MARAFIQ;0.0
2009;Energy sales(GWh);Western area;SEC;59267.0
2019;Energy sales(GWh);Eastern area;SEC;82394.0
2005;Energy sales(GWh);Southern area;MARAFIQ;0.0
2006;Energy sales(GWh);Southern area;MARAFIQ;0.0
2007;Energy sales(GWh);Western area;MARAFIQ;5275.0
2010;Energy sales(GWh);Southern area;MARAFIQ;0.0
2012;Energy sales(GWh);Western area;MARAFIQ;6322.0
2017;Energy sales(GWh);Central area;MARAFIQ;0.0
2017;Energy sales(GWh);Eastern area;MARAFIQ;0.0
2005;Customers numbers;Central area;SEC;1498370.0
2008;Customers numbers;Western area;SEC;2083399.0
2009;Customers numbers;Western area;SEC;2168346.0
2010;Customers numbers;Western area;SEC;2259135.0
2014;Customers numbers;Central area;SEC;2473073.0
2015;Customers numbers;Western area;SEC;2874875.0
2016;Customers numbers;Eastern area;SEC;1543995.0
2005;Customers numbers;Eastern area;MARAFIQ;0.0
2005;Customers numbers;Southern area;MARAFIQ;0.0
2006;Customers numbers;Central area;MARAFIQ;0.0
2006;Customers numbers;Eastern area;MARAFIQ;0.0
2006;Customers numbers;Southern area;MARAFIQ;0.0
2007;Customers numbers;Western area;MARAFIQ;13476.0
2008;Customers numbers;Southern area;MARAFIQ;0.0
2009;Customers numbers;Southern area;MARAFIQ;0.0
2010;Customers numbers;Western area;MARAFIQ;14712.0
2011;Customers numbers;Central area;MARAFIQ;0.0
2011;Customers numbers;Southern area;MARAFIQ;0.0
2011;Customers numbers;Western area;MARAFIQ;14881.0
2013;Customers numbers;Eastern area;MARAFIQ;0.0
2017;Customers numbers;Eastern area;MARAFIQ;0.0
2017;Customers numbers;Southern area;MARAFIQ;0.0
2005;Energy sales(GWh);Central area;SEC;44100.0
2006;Energy sales(GWh);Southern area;SEC;12340.0
2007;Energy sales(GWh);Western area;SEC;51914.0
2008;Energy sales(GWh);Southern area;SEC;14000.0
2009;Energy sales(GWh);Southern area;SEC;15812.0
2012;Energy sales(GWh);Southern area;SEC;20524.0
2016;Energy sales(GWh);Central area;SEC;90286.0
2016;Energy sales(GWh);Western area;SEC;88794.0
2017;Energy sales(GWh);Southern area;SEC;28443.0
2019;Energy sales(GWh);Central area;SEC;83989.0
2005;Energy sales(GWh);Central area;MARAFIQ;0.0
2006;Energy sales(GWh);Eastern area;MARAFIQ;0.0
2007;Energy sales(GWh);Central area;MARAFIQ;0.0
2007;Energy sales(GWh);Eastern area;MARAFIQ;0.0
2008;Energy sales(GWh);Central area;MARAFIQ;0.0
2008;Energy sales(GWh);Southern area;MARAFIQ;0.0
2009;Energy sales(GWh);Eastern area;MARAFIQ;0.0
2014;Energy sales(GWh);Eastern area;MARAFIQ;0.0
2015;Energy sales(GWh);Eastern area;MARAFIQ;0.0
2017;Energy sales(GWh);Southern area;MARAFIQ;0.0
2006;Customers numbers;Eastern area;SEC;844821.0
2008;Customers numbers;Central area;SEC;1702487.0
2008;Customers numbers;Eastern area;SEC;930784.0
2009;Customers numbers;Central area;SEC;1793017.0
2010;Customers numbers;Central area;SEC;1893510.0
2011;Customers numbers;Southern area;SEC;851658.0
2012;Customers numbers;Central area;SEC;2145096.0
2012;Customers numbers;Western area;SEC;2482955.0
2013;Customers numbers;Central area;SEC;2297006.0
2013;Customers numbers;Southern area;SEC;975792.0
2014;Customers numbers;Eastern area;SEC;1356323.0
2014;Customers numbers;Western area;SEC;2724479.0
