year,region_name,t1_2_winter_kwh,t1_2_winter_sar,t1_2_rest_kwh,t1_2_rest_sar,annual_kwh,annual_sar,t1_2_winter_kwh_source,t1_2_winter_sar_source,t1_2_rest_kwh_source,t1_2_rest_sar_source,annual_kwh_source,annual_sar_source
2017,Al-Bahah,633322853.3628119,42419719.04067979,2444806140.0,202643571.9785449,3078128993.362812,245063291.0192248,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC
2017,Al-Jouf,1047155811.2308588,53629863.13256977,4541531311.0,243302753.4213392,5588687122.230859,296932616.553909,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC
2017,Asir,4146428088.81415,275512194.7045303,20464106366.0,1969645445.2545493,24610534454.814148,2245157639.95908,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC
2017,Eastern Region,5262775051.688831,359183064.6755376,30727730092.0,3165695573.42404,35990505143.68883,3524878638.0995774,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC
2017,Hail,1056543108.964022,73455021.09765667,3925871299.0,321251274.1050998,4982414407.964022,394706295.20275646,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC
2017,Jazan,2324786700.582149,149979130.84358788,12330297464.0,1136274518.6838713,14655084164.58215,1286253649.5274591,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC
2017,Madinah,2458903536.478258,161679183.34053198,12934995238.0,1155048654.4745312,15393898774.478258,1316727837.8150632,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC
2017,Makkah,10225556784.386744,673039064.4824653,54951107564.0,5151689960.917025,65176664348.38674,5824729025.39949,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC
2017,Najran,767280686.2692041,54296994.89760524,4024055708.0,451502210.43434113,4791336394.269204,505799205.3319464,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC
2017,Northern Borders,461492447.338097,28935953.668130457,1680672755.0,124393718.41279708,2142165202.338097,153329672.08092755,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC
2017,Qassim,1682430847.639912,115254648.24871904,8702062275.0,714747363.3142709,10384493122.639912,830002011.56299,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC
2017,Riyadh,9656113094.576937,646321544.558405,58311208859.0,5000680818.49279,67967321953.576935,5647002363.051195,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC
2017,Tabuk,1111825199.1694949,73810717.035593,4585245842.0,360078967.36779565,5697071041.169495,433889684.4033886,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC
2018,Al-Bahah,645193315.0,44982179.0,2569383740.0,216447376.0,3214577055.0,261429555.0,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC,KAPSARC
