year,region_name,annual_kwh,annual_sar,kwh_lag1,kwh_lag2,kwh_roll3,kwh_yoy_pct,region_Al-Bahah,region_Al-Jouf,region_Asir,region_Eastern Region,region_Hail,region_Jazan,region_Madinah,region_Makkah,region_Najran,region_Northern Borders,region_Qassim,region_Riyadh,region_Tabuk
2019,Al-Bahah,2789681094.0,836616522.0,3214577055.0,3078128993.362812,3027462380.787604,-13.217787401895087,1,0,0,0,0,0,0,0,0,0,0,0,0
2020,Al-Bahah,2303504309.0,507143229.0,2789681094.0,3214577055.0,2769254152.6666665,-17.42768325905284,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,Al-Bahah,1832647730.0,403835002.0,2303504309.0,2789681094.0,2308611044.3333335,-20.440881189599725,1,0,0,0,0,0,0,0,0,0,0,0,0
2022,Al-Bahah,2183105651.613694,469333091.5775818,1832647730.0,2303504309.0,2106419230.2045648,19.12303798906809,1,0,0,0,0,0,0,0,0,0,0,0,0
2019,Al-Jouf,3265981960.0,1122461237.0,5643290091.0,5588687122.230859,4832653057.743619,-42.126279044052076,0,1,0,0,0,0,0,0,0,0,0,0,0
2020,Al-Jouf,2593704416.0,641460900.0,3265981960.0,5643290091.0,3834325489.0,-20.58423935691305,0,1,0,0,0,0,0,0,0,0,0,0,0
2021,Al-Jouf,1495169225.0,354387934.0,2593704416.0,3265981960.0,2451618533.6666665,-42.35390834141989,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,Al-Jouf,2507267037.835957,535676164.4935514,1495169225.0,2593704416.0,2198713559.6119857,67.6911881219303,0,1,0,0,0,0,0,0,0,0,0,0,0
2019,Asir,13625748398.0,4170282160.0,24780198852.0,24610534454.814148,21005493901.604717,-45.01356313006233,0,0,1,0,0,0,0,0,0,0,0,0,0
2020,Asir,10832588845.0,2455697225.0,13625748398.0,24780198852.0,16412845365.0,-20.499127617900115,0,0,1,0,0,0,0,0,0,0,0,0,0
2021,Asir,5949106568.0,1413160934.0,10832588845.0,13625748398.0,10135814603.666666,-45.08139602523611,0,0,1,0,0,0,0,0,0,0,0,0,0
2022,Asir,8973079379.175293,1941500667.679556,5949106568.0,10832588845.0,8584924930.725098,50.830705024534595,0,0,1,0,0,0,0,0,0,0,0,0,0
2019,Eastern Region,32484475163.0,11329072150.0,36141733496.0,35990505143.68883,34872237934.22961,-10.119211170113818,0,0,0,1,0,0,0,0,0,0,0,0,0
2020,Eastern Region,25039529172.0,6148415052.0,32484475163.0,36141733496.0,31221912610.333332,-22.918473989937926,0,0,0,1,0,0,0,0,0,0,0,0,0
