model_name,dataset_split,MAE,RMSE,MAPE,R2
Random Forest,test,2553277171.2107,3886811926.61273,18.0593202389727,0.933048364620255
XGBoost,test,2983914346.6858,4099142936.57932,41.4781602940039,0.925533616766831
Moving average baseline,test,2323903878.16408,4178515931.40958,14.9280122055256,0.92262186446155
Naive baseline,test,3050746607.31793,4773581114.15931,23.6558669949979,0.899013632791519
Persistence baseline,test,3050746607.31793,4773581114.15931,23.6558669949979,0.899013632791519
ARIMA,test,3751525995.05942,5248205335.72785,38.4413908873161,0.877933702107599
Hybrid,test,3751525995.05941,5248205335.72785,38.4413908873161,0.8779337021076
Historical mean baseline,test,3500664048.24344,5664021617.85612,26.6686156131901,0.857824769565403
Hybrid,validation,1236798742.58034,2424106328.10031,6.90513062028668,0.982664448678098
ARIMA,validation,1236798742.58035,2424106328.10033,6.90513062028673,0.982664448678098
Naive baseline,validation,1682348599.07692,2547485217.383,27.1093495098932,0.980854898524735
Persistence baseline,validation,1682348599.07692,2547485217.383,27.1093495098932,0.980854898524735
Moving average baseline,validation,3003103114.38462,4415550204.81276,38.6645109654016,0.94248197283123
Random Forest,validation,4244740424.08051,5748653802.95482,60.2639167217767,0.902508525709419
Historical mean baseline,validation,3852466023.79272,5782286158.55023,65.9955384617735,0.901364445891404
XGBoost,validation,4717960364.84615,7332148772.46161,77.7617377230082,0.841402307503964
