model_name,dataset_split,year,region,actual,predicted,residual,MAE,MSE,absolute_percentage_error,RMSE
ARIMA,validation,2021,Al-Bahah,1832647730,2045296080.87906,-212648350.879063,212648350.879063,4.52193211315852e+16,11.603340205434,212648350.879063
ARIMA,validation,2021,Al-Jouf,1495169225,1595376847.25638,-100207622.256379,100207622.256379,1.00415675582772e+16,6.70209235054172,100207622.256379
ARIMA,validation,2021,Al-Qassim,10685966202,9922656929.7867,763309272.213299,763309272.213299,5.82641045046796e+17,7.14310019126242,763309272.213299
ARIMA,validation,2021,Asir,5949106568,6239940308.3953,-290833740.395302,290833740.395302,8.45842645523218e+16,4.88869609362328,290833740.395302
ARIMA,validation,2021,Eastern Region,18541505095,21389203848.1037,-2847698753.10373,2847698753.10373,8.10938818842853e+18,15.3585091313415,2847698753.10373
ARIMA,validation,2021,Hail,4313947564,4091146001.34533,222801562.654673,222801562.654673,4.96405363213642e+16,5.16467943453828,222801562.654673
ARIMA,validation,2021,Jazan,5273035639,5522252747.80597,-249217108.805965,249217108.805965,6.21091673216044e+16,4.72625496711468,249217108.805965
ARIMA,validation,2021,Madinah,11038916270,11303496239.1739,-264579969.173901,264579969.173901,7.00025600880622e+16,2.39679297045616,264579969.173901
ARIMA,validation,2021,Makkah,54498273349,51204316098.5378,3293957250.46223,3293957250.46223,1.08501543678727e+19,6.0441497464849,3293957250.46223
ARIMA,validation,2021,Najran,2018166709,2121993187.2436,-103826478.243599,103826478.243599,1.07799375844686e+16,5.14459374344971,103826478.243599
ARIMA,validation,2021,Northern Borders,1544512407,1588535367.22063,-44022960.2206335,44022960.2206335,1.93802102658748e+15,2.85028207097034,44022960.2206335
ARIMA,validation,2021,Riyadh,56274905515,48759151995.4744,7515753519.52563,7515753519.52563,5.64865509662619e+19,13.3554262788097,7515753519.52563
ARIMA,validation,2021,Tabuk,3862737062,4032264127.61017,-169527065.610169,169527065.610169,2.87394259743947e+16,4.38878087970071,169527065.610169
ARIMA,test,2022,Al-Bahah,2183105651.61369,1521277414.1593,661828237.454392,661828237.454392,4.38016615891988e+17,30.3159050944322,661828237.454393
ARIMA,test,2022,Al-Jouf,2507267037.83596,471789750.692285,2035477287.14368,2035477287.14368,4.14316778647778e+18,81.1831072010788,2035477287.14368
ARIMA,test,2022,Al-Qassim,8362301784.14925,10761334471.84,-2399032687.69077,2399032687.69077,5.75535783660882e+18,28.6886643129543,2399032687.69077
ARIMA,test,2022,Asir,8973079379.17529,1283749596.29648,7689329782.87881,7689329782.87881,5.91257925098671e+19,85.6933217455336,7689329782.87881
ARIMA,test,2022,Eastern Region,25890673713.5296,14179255082.8278,11711418630.7018,11711418630.7018,1.37157326343549e+20,45.2341208277705,11711418630.7018
ARIMA,test,2022,Hail,4470583610.30104,4146830853.009,323752757.292045,323752757.292045,1.04815847854202e+17,7.2418454840227,323752757.292045
ARIMA,test,2022,Jazan,7837668188.78303,2927523507.60448,4910144681.17855,4910144681.17855,2.41095207901061e+19,62.6480295275291,4910144681.17856
ARIMA,test,2022,Madinah,10720138906.4079,9950170643.88042,769968262.527475,769968262.527475,5.92851125299579e+17,7.18244669448482,769968262.527475
ARIMA,test,2022,Makkah,41763390208.7803,51828675599.1533,-10065285390.373,10065285390.373,1.01309969989657e+20,24.100738326212,10065285390.373
ARIMA,test,2022,Najran,2690828097.81257,1324874287.6827,1365953810.12987,1365953810.12987,1.86582981140831e+18,50.763324912516,1365953810.12987
ARIMA,test,2022,Northern Borders,2223252267.97428,1395099208.16548,828153059.808805,828153059.808805,6.85837490470686e+17,37.2496217248157,828153059.808805
ARIMA,test,2022,Riyadh,48810487307.0705,53351801405.3558,-4541314098.28529,4541314098.28529,2.06235337392847e+19,9.30397205361941,4541314098.28529
ARIMA,test,2022,Tabuk,4872332817.51555,3404153567.20763,1468179250.30792,1468179250.30792,2.15555031103473e+18,30.1329836301404,1468179250.30792
Random Forest,validation,2021,Al-Bahah,1832647730,3526827232.82179,-1694179502.82179,1694179502.82179,2.8702441877815e+18,92.444362060885,1694179502.82179
Random Forest,validation,2021,Al-Jouf,1495169225,3945253446.49502,-2450084221.49502,2450084221.49502,6.00291269241886e+18,163.866683484943,2450084221.49502
Random Forest,validation,2021,Al-Qassim,10685966202,9590765447.49273,1095200754.50727,1095200754.50727,1.19946469267328e+18,10.2489633020016,1095200754.50726
Random Forest,validation,2021,Asir,5949106568,15569607189.0604,-9620500621.06037,9620500621.06037,9.25540321998229e+19,161.713368404067,9620500621.06037
Random Forest,validation,2021,Eastern Region,18541505095,29640699636.4922,-11099194541.4922,11099194541.4922,1.23192119469891e+20,59.861346123866,11099194541.4922
Random Forest,validation,2021,Hail,4313947564,4250711909.40479,63235654.5952086,63235654.5952086,3.99874801208453e+15,1.46584198479629,63235654.5952086
Random Forest,validation,2021,Jazan,5273035639,9504540897.01803,-4231505258.01803,4231505258.01803,1.79056367486343e+19,80.2479927638136,4231505258.01804
Random Forest,validation,2021,Madinah,11038916270,14664787688.0592,-3625871418.05925,3625871418.05925,1.3146943540299e+19,32.8462625259069,3625871418.05925
Random Forest,validation,2021,Makkah,54498273349,46577970886.8211,7920302462.17893,7920302462.17893,6.27311910923977e+19,14.5331255019004,7920302462.17894
Random Forest,validation,2021,Najran,2018166709,3005856753.53997,-987690044.539967,987690044.539967,9.75531624083362e+17,48.9399631921075,987690044.539967
Random Forest,validation,2021,Northern Borders,1544512407,2719779814.86459,-1175267407.86459,1175267407.86459,1.38125347998876e+18,76.0931024275411,1175267407.86459
Random Forest,validation,2021,Riyadh,56274905515,45936998062.9457,10337907452.0543,10337907452.0543,1.06872330487239e+20,18.3703683861339,10337907452.0543
Random Forest,validation,2021,Tabuk,3862737062,4743423236.35975,-880686174.359754,880686174.359754,7.75608137708418e+17,22.7995372251344,880686174.359753
Random Forest,test,2022,Al-Bahah,2183105651.61369,2421256118.23908,-238150466.625392,238150466.625392,5.67156447538922e+16,10.9087925474133,238150466.625393
Random Forest,test,2022,Al-Jouf,2507267037.83596,2455735430.04839,51531607.7875695,51531607.7875695,2.6555066011719e+15,2.05528996353124,51531607.7875696
Random Forest,test,2022,Al-Qassim,8362301784.14925,9037229137.09649,-674927352.947235,674927352.947235,4.55526931756362e+17,8.07107146296203,674927352.947235
Random Forest,test,2022,Asir,8973079379.17529,5754886909.74821,3218192469.42708,3218192469.42708,1.03567627702772e+19,35.8649726970638,3218192469.42708
Random Forest,test,2022,Eastern Region,25890673713.5296,18033339793.024,7857333920.50558,7857333920.50558,6.17376963383275e+19,30.3481246082816,7857333920.50557
Random Forest,test,2022,Hail,4470583610.30104,3628089086.29834,842494524.002695,842494524.002695,7.09797022974528e+17,18.8452917435977,842494524.002695
Random Forest,test,2022,Jazan,7837668188.78303,4967943245.91435,2869724942.86868,2869724942.86868,8.23532124772263e+18,36.6145245466722,2869724942.86868
Random Forest,test,2022,Madinah,10720138906.4079,9230242585.16858,1489896321.23932,1489896321.23932,2.21979104804245e+18,13.898106491407,1489896321.23932
Random Forest,test,2022,Makkah,41763390208.7803,51128955653.8766,-9365565445.09628,9365565445.09628,8.77138161063814e+19,22.4252997620085,9365565445.09628
Random Forest,test,2022,Najran,2690828097.81257,2421256118.23908,269571979.573488,269571979.573488,7.26690521711689e+16,10.0181791543142,269571979.573488
Random Forest,test,2022,Northern Borders,2223252267.97428,2421256118.23908,-198003850.264802,198003850.264802,3.92055247196863e+16,8.90604512663844,198003850.264802
Random Forest,test,2022,Riyadh,48810487307.0705,53613354786.3778,-4802867479.30728,4802867479.30728,2.30675360237875e+19,9.83982693942815,4802867479.30728
Random Forest,test,2022,Tabuk,4872332817.51555,3557989951.42188,1314342866.09367,1314342866.09367,1.72749716965134e+18,26.9756380633264,1314342866.09368
XGBoost,validation,2021,Al-Bahah,1832647730,4869687296,-3037039566,3037039566,9.22360932544947e+18,165.718676660244,3037039566
XGBoost,validation,2021,Al-Jouf,1495169225,5095185920,-3600016695,3600016695,1.29601202042787e+19,240.776537853098,3600016695
XGBoost,validation,2021,Al-Qassim,10685966202,7305682944,3380283258,3380283258,1.14263149043151e+19,31.6329211051345,3380283258
XGBoost,validation,2021,Asir,5949106568,9896441856,-3947335288,3947335288,1.558145587589e+19,66.3517326993696,3947335287.99999
XGBoost,validation,2021,Eastern Region,18541505095,16505670656,2035834439,2035834439,4.14462186301844e+18,10.9798769224457,2035834439
XGBoost,validation,2021,Hail,4313947564,4869687296,-555739732,555739732,3.08846649723432e+17,12.8823942283782,555739732
XGBoost,validation,2021,Jazan,5273035639,6398667264,-1125631625,1125631625,1.26704655520014e+18,21.3469375529096,1125631625
XGBoost,validation,2021,Madinah,11038916270,10029065216,1009851054,1009851054,1.01979915126491e+18,9.14809958967104,1009851054
XGBoost,validation,2021,Makkah,54498273349,37770285056,16727988293,16727988293,2.79825592330745e+20,30.6945289548461,16727988293
XGBoost,validation,2021,Najran,2018166709,4869687296,-2851520587,2851520587,8.13116965808482e+18,141.29261840876,2851520587
XGBoost,validation,2021,Northern Borders,1544512407,4869687296,-3325174889,3325174889,1.10567880424362e+19,215.289619813329,3325174889.00001
XGBoost,validation,2021,Riyadh,56274905515,37770285056,18504620459,18504620459,3.42420978331641e+20,32.8825438082124,18504620459
XGBoost,validation,2021,Tabuk,3862737062,5095185920,-1232448858,1232448858,1.5189301875855e+18,31.9061028027074,1232448858
XGBoost,test,2022,Al-Bahah,2183105651.61369,4402063360,-2218957708.38631,2218957708.38631,4.92377331160702e+18,101.642250192798,2218957708.38631
XGBoost,test,2022,Al-Jouf,2507267037.83596,4402063360,-1894796322.16404,1894796322.16404,3.59025310248637e+18,75.5721785342599,1894796322.16404
XGBoost,test,2022,Al-Qassim,8362301784.14925,7226805760,1135496024.14925,1135496024.14925,1.28935122085875e+18,13.5787496488297,1135496024.14925
XGBoost,test,2022,Asir,8973079379.17529,4512993792,4460085587.17529,4460085587.17529,1.98923634449287e+19,49.7051836800447,4460085587.17528
XGBoost,test,2022,Eastern Region,25890673713.5296,14520166400,11370507313.5296,11370507313.5296,1.2928843656703e+20,43.9173867754077,11370507313.5296
XGBoost,test,2022,Hail,4470583610.30104,4402063360,68520250.3010397,68520250.3010397,4.69502470131713e+15,1.53269139499274,68520250.3010397
XGBoost,test,2022,Jazan,7837668188.78303,4402063360,3435604828.78303,3435604828.78303,1.18033805395573e+19,43.8345276430551,3435604828.78303
XGBoost,test,2022,Madinah,10720138906.4079,8339375616,2380763290.4079,2380763290.4079,5.66803384495385e+18,22.2083250151247,2380763290.4079
XGBoost,test,2022,Makkah,41763390208.7803,43733884928,-1970494719.2197,1970494719.2197,3.88284943847274e+18,4.71823458145748,1970494719.2197
XGBoost,test,2022,Najran,2690828097.81257,4402063360,-1711235262.18743,1711235262.18743,2.92832612255368e+18,63.5951164468116,1711235262.18743
XGBoost,test,2022,Northern Borders,2223252267.97428,4402063360,-2178811092.02572,2178811092.02572,4.74721777473431e+18,98.001073625844,2178811092.02572
XGBoost,test,2022,Riyadh,48810487307.0705,43315142656,5495344651.0705,5495344651.0705,3.01988128340492e+19,11.2585326520075,5495344651.0705
XGBoost,test,2022,Tabuk,4872332817.51555,4402063360,470269457.51555,470269457.51555,2.21153362671969e+17,9.65183363141734,470269457.515549
Hybrid,validation,2021,Al-Bahah,1832647730,2045296080.87906,-212648350.87906,212648350.87906,4.52193211315838e+16,11.6033402054338,212648350.87906
Hybrid,validation,2021,Al-Jouf,1495169225,1595376847.25638,-100207622.25638,100207622.25638,1.00415675582774e+16,6.70209235054179,100207622.25638
Hybrid,validation,2021,Al-Qassim,10685966202,9922656929.7867,763309272.213301,763309272.213301,5.82641045046799e+17,7.14310019126243,763309272.213301
Hybrid,validation,2021,Asir,5949106568,6239940308.3953,-290833740.3953,290833740.3953,8.45842645523207e+16,4.88869609362325,290833740.3953
Hybrid,validation,2021,Eastern Region,18541505095,21389203848.1037,-2847698753.1037,2847698753.1037,8.10938818842836e+18,15.3585091313414,2847698753.1037
Hybrid,validation,2021,Hail,4313947564,4091146001.34533,222801562.65467,222801562.65467,4.96405363213627e+16,5.16467943453821,222801562.65467
Hybrid,validation,2021,Jazan,5273035639,5522252747.80597,-249217108.80597,249217108.80597,6.21091673216068e+16,4.72625496711478,249217108.80597
Hybrid,validation,2021,Madinah,11038916270,11303496239.1739,-264579969.173901,264579969.173901,7.00025600880622e+16,2.39679297045616,264579969.173901
Hybrid,validation,2021,Makkah,54498273349,51204316098.5378,3293957250.4622,3293957250.4622,1.08501543678725e+19,6.04414974648484,3293957250.4622
Hybrid,validation,2021,Najran,2018166709,2121993187.2436,-103826478.2436,103826478.2436,1.07799375844687e+16,5.14459374344976,103826478.2436
Hybrid,validation,2021,Northern Borders,1544512407,1588535367.22063,-44022960.2206299,44022960.2206299,1.93802102658717e+15,2.85028207097011,44022960.22063
Hybrid,validation,2021,Riyadh,56274905515,48759151995.4744,7515753519.5256,7515753519.5256,5.64865509662614e+19,13.3554262788096,7515753519.5256
Hybrid,validation,2021,Tabuk,3862737062,4032264127.61017,-169527065.61017,169527065.61017,2.87394259743948e+16,4.38878087970074,169527065.61017
Hybrid,test,2022,Al-Bahah,2183105651.61369,1521277414.1593,661828237.45439,661828237.45439,4.38016615891984e+17,30.3159050944321,661828237.45439
Hybrid,test,2022,Al-Jouf,2507267037.83596,471789750.692285,2035477287.14367,2035477287.14367,4.14316778647777e+18,81.1831072010784,2035477287.14367
Hybrid,test,2022,Al-Qassim,8362301784.14925,10761334471.84,-2399032687.69075,2399032687.69075,5.7553578366087e+18,28.6886643129541,2399032687.69075
Hybrid,test,2022,Asir,8973079379.17529,1283749596.29648,7689329782.87881,7689329782.87881,5.91257925098671e+19,85.6933217455336,7689329782.87881
Hybrid,test,2022,Eastern Region,25890673713.5296,14179255082.8278,11711418630.7018,11711418630.7018,1.37157326343549e+20,45.2341208277705,11711418630.7018
Hybrid,test,2022,Hail,4470583610.30104,4146830853.009,323752757.29204,323752757.29204,1.04815847854198e+17,7.24184548402259,323752757.292039
Hybrid,test,2022,Jazan,7837668188.78303,2927523507.60448,4910144681.17855,4910144681.17855,2.4109520790106e+19,62.6480295275291,4910144681.17855
Hybrid,test,2022,Madinah,10720138906.4079,9950170643.88042,769968262.527479,769968262.527479,5.92851125299585e+17,7.18244669448486,769968262.527479
Hybrid,test,2022,Makkah,41763390208.7803,51828675599.1533,-10065285390.373,10065285390.373,1.01309969989656e+20,24.100738326212,10065285390.373
Hybrid,test,2022,Najran,2690828097.81257,1324874287.6827,1365953810.12987,1365953810.12987,1.86582981140831e+18,50.763324912516,1365953810.12987
