year,region,season,measure,unit,value_gastat,source_file_gastat,source_sheet,source_table,source_excel_row,value_csv,source_file_csv,_merge,absolute_difference,percentage_difference,agreement_status,selected_source,selected_value,justification
2019,Al-Bahah,Rest of the year,Consumption,kWh,2205899137.0,HouseholdEnergyStatistics2019En.xlsx,76,Table 37,19,2205899137.0,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,both,0.0,0.0,Agreement within tolerance,GASTAT original workbook,2205899137.0,Original GASTAT publication selected; independent supplied CSV agrees within tolerance.
2019,Al-Bahah,Rest of the year,Cost,SAR,683330764.0,HouseholdEnergyStatistics2019En.xlsx,76,Table 37,19,683330764.0,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,both,0.0,0.0,Agreement within tolerance,GASTAT original workbook,683330764.0,Original GASTAT publication selected; independent supplied CSV agrees within tolerance.
2019,Al-Bahah,Winter,Consumption,kWh,583781957.0,HouseholdEnergyStatistics2019En.xlsx,76,Table 37,19,583781957.0,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,both,0.0,0.0,Agreement within tolerance,GASTAT original workbook,583781957.0,Original GASTAT publication selected; independent supplied CSV agrees within tolerance.
2019,Al-Bahah,Winter,Cost,SAR,153285758.0,HouseholdEnergyStatistics2019En.xlsx,76,Table 37,19,153285758.0,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,both,0.0,0.0,Agreement within tolerance,GASTAT original workbook,153285758.0,Original GASTAT publication selected; independent supplied CSV agrees within tolerance.
2019,Al-Jouf,Rest of the year,Consumption,kWh,2565128025.0,HouseholdEnergyStatistics2019En.xlsx,76,Table 37,20,2565128025.0,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,both,0.0,0.0,Agreement within tolerance,GASTAT original workbook,2565128025.0,Original GASTAT publication selected; independent supplied CSV agrees within tolerance.
2019,Al-Jouf,Rest of the year,Cost,SAR,944422326.0,HouseholdEnergyStatistics2019En.xlsx,76,Table 37,20,944422326.0,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,both,0.0,0.0,Agreement within tolerance,GASTAT original workbook,944422326.0,Original GASTAT publication selected; independent supplied CSV agrees within tolerance.
2019,Al-Jouf,Winter,Consumption,kWh,700853935.0,HouseholdEnergyStatistics2019En.xlsx,76,Table 37,20,700853935.0,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,both,0.0,0.0,Agreement within tolerance,GASTAT original workbook,700853935.0,Original GASTAT publication selected; independent supplied CSV agrees within tolerance.
2019,Al-Jouf,Winter,Cost,SAR,178038911.0,HouseholdEnergyStatistics2019En.xlsx,76,Table 37,20,178038911.0,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,both,0.0,0.0,Agreement within tolerance,GASTAT original workbook,178038911.0,Original GASTAT publication selected; independent supplied CSV agrees within tolerance.
2019,Al-Qassim,Rest of the year,Consumption,kWh,6354815303.0,HouseholdEnergyStatistics2019En.xlsx,76,Table 37,11,6354815303.0,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,both,0.0,0.0,Agreement within tolerance,GASTAT original workbook,6354815303.0,Original GASTAT publication selected; independent supplied CSV agrees within tolerance.
2019,Al-Qassim,Rest of the year,Cost,SAR,1851621754.0,HouseholdEnergyStatistics2019En.xlsx,76,Table 37,11,1851621754.0,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,both,0.0,0.0,Agreement within tolerance,GASTAT original workbook,1851621754.0,Original GASTAT publication selected; independent supplied CSV agrees within tolerance.
