output_filename,generating_notebook,row_count,column_count,sha256
figures/final/MAE_comparison.png,10_Model_Evaluation_and_Comparison.ipynb,,,20a3f46d689c974b7cbf6eec7277038c1392ab851ac0f2359e2a03ff5527939d
figures/final/RMSE_comparison.png,10_Model_Evaluation_and_Comparison.ipynb,,,554f345e8aa9af3ea89912b8ae60ee919f6cb8ca3d8e1fdbf141815b3e0c4a28
figures/final/actual_vs_predicted_all_models.png,10_Model_Evaluation_and_Comparison.ipynb,,,961016b35610a66a48e522ddc95f33d17b81ac556bffcf50bead4f8fff0f96a4
figures/final/baseline_vs_advanced_models.png,10_Model_Evaluation_and_Comparison.ipynb,,,1fd672ce10f1eb3a8a3e33fe11489874fec28940cc77810e33c0d7e8055b07cc
figures/final/forecast_accuracy_by_region.png,10_Model_Evaluation_and_Comparison.ipynb,,,ee98ab53119ccd3416e27f8e5dfea3e51e8b54da31cc319e0e3f5ffce859b2b4
figures/final/model_error_distribution.png,10_Model_Evaluation_and_Comparison.ipynb,,,028c091647a68489ba6274a739bb13a880445518a84fc422b645664270a87036
figures/final/model_metric_comparison.png,10_Model_Evaluation_and_Comparison.ipynb,,,f6f7708efffe1bc4a35638de544963d03069ea68c01e6c3ff76d11eb0ae162d2
figures/final/regional_error_heatmap.png,10_Model_Evaluation_and_Comparison.ipynb,,,87a7b1599f24bedea2e2a894e4d7093e982e0cfd62cdefc30a24853257448d58
figures/thesis/best_model_forecast_visualization.png,11_Final_Forecasts_and_Visualizations.ipynb,,,e8d03155c812d1473e53769a7eced21a2632ec4ea248f2d6cb345ff263f243dd
figures/thesis/error_analysis.png,11_Final_Forecasts_and_Visualizations.ipynb,,,54856c1ea375e07c0caebb89ccabbe9979e1ec7a640695cd5a0a3f851f43e16d
figures/thesis/model_performance_summary.png,11_Final_Forecasts_and_Visualizations.ipynb,,,9210f4bb69a2b8c66e26ccf43596ad42e80f9cadabd428038f26a15360884506
figures/thesis/observed_vs_predicted_consumption.png,11_Final_Forecasts_and_Visualizations.ipynb,,,a1c75800926fbd0ed07a2b35de1f2709278f1042c54c461a2f59e163532f506c
figures/thesis/regional_forecast_comparison.png,11_Final_Forecasts_and_Visualizations.ipynb,,,f719c1ecb32a88d1ea7a9f956e9a76aabfa4554e4857dbeb603c7df263c955cf
figures/thesis/saudi_regional_consumption_trends.png,11_Final_Forecasts_and_Visualizations.ipynb,,,33387ed113f12969c1652062f6921f27a6a7fb160b2d99e29072f71d292b202f
notebooks/10_Model_Evaluation_and_Comparison.ipynb,10_Model_Evaluation_and_Comparison.ipynb,,,363b65db9edc51aa028aa718cdcedbbf54ad471ac40f8a913e2a6c93b15caabc
notebooks/11_Final_Forecasts_and_Visualizations.ipynb,11_Final_Forecasts_and_Visualizations.ipynb,,,b9bb5f00b34570f861c1440ff91e3c3fa12cad8b66474754fdb59cfafe8fce7b
results/final/final_model_ranking.csv,10_Model_Evaluation_and_Comparison.ipynb,8,18,d673268b2eee3a401f748f515e0b1c03753a628c3cbec0bfa0f8a312cb12015d
results/final/model_comparison_summary.md,10_Model_Evaluation_and_Comparison.ipynb,,,7e0b7dfdc8486e473a3590f4a68a52704578baed3009e333ec3e2ae1dd91efd8
results/final/model_comparison_table.csv,10_Model_Evaluation_and_Comparison.ipynb,16,6,e4780d75fea1c348d7a145be8e0844f360f65531d0ee90e5bb0144c121746078
results/final/regional_performance_comparison.csv,10_Model_Evaluation_and_Comparison.ipynb,104,11,5461ae63d61d261ca800bf81fce283092834853d758d1257e19fd1aaf63b3c1c
results/final/thesis_results_summary.md,10_Model_Evaluation_and_Comparison.ipynb,,,5bd0b4663a34556054e055d2e33166a1c7f7f7718971e1c5a3cb5f94ddc6d26f
results/phase5_validation_summary.md,11_Final_Forecasts_and_Visualizations.ipynb,,,43103f64220be6673f496b7ee9b4054242fa85e4caafd08dcb8ccda42ce633d8
results/thesis_tables/final_forecast_table.csv,11_Final_Forecasts_and_Visualizations.ipynb,13,9,5fc7806d77a0a76ed0a4d7bafa5731986ce7a48f7eff729e111559e27c996606
results/thesis_tables/final_interpretation.md,11_Final_Forecasts_and_Visualizations.ipynb,,,4f48930c8e5fae30ad5a683030a60a94bf950e26742db2c6fe68e7726508df6f
results/thesis_tables/model_performance_table.csv,11_Final_Forecasts_and_Visualizations.ipynb,8,11,c5b96da505d34029f0ef45800052aad592fec420836833183cd10d382079640f
results/thesis_tables/regional_forecasting_accuracy_table.csv,11_Final_Forecasts_and_Visualizations.ipynb,13,7,9639a59fba60ad03d58e4f30e2a46c1328fecf57fb91244cff0717f79e9a929a
