dataset_id,file_name,relative_path,source,purpose,temporal_resolution,geographic_resolution,authoritative,sha256,phase1_merge_guidance
householdenergystatistics2019en,HouseholdEnergyStatistics2019En.xlsx,data/raw/old_thesis_data/HouseholdEnergyStatistics2019En.xlsx,General Authority for Statistics (GASTAT),2019 household energy survey tables,Annual survey,Primarily administrative region; some national tables,True,366080ed6b84ad7e8a755efdf31dfe504601f040c34fb229361d40c6a29c331c,Original workbook; selected household tables eligible for source-specific extraction
householdenergystatistics2020en,HouseholdEnergyStatistics2020En.xlsx,data/raw/old_thesis_data/HouseholdEnergyStatistics2020En.xlsx,General Authority for Statistics (GASTAT),2020 household energy survey tables,Annual survey,Primarily administrative region; some national tables,True,1e2a64ef37a034a281cf751fba456ce328fe28e5808a7d64c9bbef2c61201178,Original workbook; selected household tables eligible for source-specific extraction
householdenergystatistics2021en,HouseholdEnergyStatistics2021En.xlsx,data/raw/old_thesis_data/HouseholdEnergyStatistics2021En.xlsx,General Authority for Statistics (GASTAT),2021 household energy survey tables,Annual survey,Primarily administrative region; some national tables,True,7a8f30547188dcbff81d8a234c02e06d01b646ceccde3b67cd31d5930f73068d,Original workbook; selected household tables eligible for source-specific extraction
householdenergystatistics2022en,HouseholdEnergyStatistics2022En.xlsx,data/raw/old_thesis_data/HouseholdEnergyStatistics2022En.xlsx,General Authority for Statistics (GASTAT),2022 household energy survey tables,Annual survey,Primarily administrative region; some national tables,True,8b537b13ee4fa562d9cdfd4a14b167f6d19b1a65447a407ad98e716454036a2d,Original workbook; selected household tables eligible for source-specific extraction
householdenergystatistics2023en,HouseholdEnergyStatistics2023En.xlsx,data/raw/old_thesis_data/HouseholdEnergyStatistics2023En.xlsx,General Authority for Statistics (GASTAT),2023 household energy survey tables,Annual survey,Administrative region indicators and national consumption,True,80d4d8042c46d6d236d305d1598788add3474292ceaed2abd7db64bd7ff317fe,Original workbook; selected household tables eligible for source-specific extraction
consumer_numbers_and_energy_sales_by_year_and_category,Consumer numbers and energy sales by year and category.csv,data/raw/saudi_energy/Consumer numbers and energy sales by year and category.csv,Supplied Saudi open-data extract; publisher metadata requires confirmation,2023 operating-region electricity consumption,Annual,Four electricity operating regions,True,e6ea741b2a400909dfcaf58c0da8f4451e1e42f7af54b8e60940370ba5b82409,Keep separate from administrative-region household panel unless an authoritative crosswalk is supplied
total_number_of_electricity_users_in_ksa_2024_csv,Total Number of electricity users in KSA 2024 csv.csv,data/raw/saudi_energy/Total Number of electricity users in KSA 2024 csv.csv,Supplied Saudi open-data extract citing SEC and MARAFIQ,National electricity-user counts by provider and sector,Annual,National by provider and sector,True,4befe80080c6f463d604a642358fabe9afad9237f665c4cc4656cbdd676dfe23,Keep separate pending definition and unit validation
electricity-consumption-indicators-by-region,electricity-consumption-indicators-by-region.csv,data/raw/saudi_energy/electricity-consumption-indicators-by-region.csv,Supplied Saudi open-data extract; publisher metadata requires confirmation,Electricity intensity in MWh per customer,Annual,Four electricity operating regions,True,ac4266f788bf3c5452a708c0ffa54ea18961899a014402c93536cfbcff8af554,Keep separate from administrative-region household panel unless an authoritative crosswalk is supplied
energy-consumption-and-number-of-consumers-by-region,energy-consumption-and-number-of-consumers-by-region.csv,data/raw/saudi_energy/energy-consumption-and-number-of-consumers-by-region.csv,Supplied Saudi open-data extract; publisher metadata requires confirmation,Energy sales and customer counts by provider and operating region,Annual,Four electricity operating regions,True,ac74d72dc05e10715af031dcd0ca3f35b09c23bc274e501951cb3bdc1c77820e,Keep separate from administrative-region household panel unless an authoritative crosswalk is supplied
houses-consumption-and-cost-of-electricity-in-the-administrative-regions-_(2),houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,data/raw/saudi_energy/houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,Supplied Saudi open-data extract; publisher metadata requires confirmation,Household consumption and cost by administrative region and season,Annual with winter/rest-of-year components,Administrative region and national total,True,559502483d24980995226e82574c3327d3fdc23ba3dac2a5bbb232c6a717eb99,Eligible for administrative-region/year overlap comparison with GASTAT 2019–2022
