region,year,actual_consumption_kwh,predicted_consumption_kwh,model_used,error_kwh,absolute_error,squared_error,absolute_percentage_error
Al-Bahah,2022,2183105651.61369,2421256118.23908,Random Forest,-238150466.625392,238150466.625392,5.67156447538922e+16,10.9087925474133
Al-Jouf,2022,2507267037.83596,2455735430.04839,Random Forest,51531607.7875695,51531607.7875695,2.6555066011719e+15,2.05528996353124
Al-Qassim,2022,8362301784.14925,9037229137.09649,Random Forest,-674927352.947235,674927352.947235,4.55526931756362e+17,8.07107146296203
Asir,2022,8973079379.17529,5754886909.74821,Random Forest,3218192469.42708,3218192469.42708,1.03567627702772e+19,35.8649726970638
Eastern Region,2022,25890673713.5296,18033339793.024,Random Forest,7857333920.50558,7857333920.50558,6.17376963383275e+19,30.3481246082816
Hail,2022,4470583610.30104,3628089086.29834,Random Forest,842494524.002695,842494524.002695,7.09797022974528e+17,18.8452917435977
Jazan,2022,7837668188.78303,4967943245.91435,Random Forest,2869724942.86868,2869724942.86868,8.23532124772263e+18,36.6145245466722
Madinah,2022,10720138906.4079,9230242585.16858,Random Forest,1489896321.23932,1489896321.23932,2.21979104804245e+18,13.898106491407
Makkah,2022,41763390208.7803,51128955653.8766,Random Forest,-9365565445.09628,9365565445.09628,8.77138161063814e+19,22.4252997620085
Najran,2022,2690828097.81257,2421256118.23908,Random Forest,269571979.573488,269571979.573488,7.26690521711689e+16,10.0181791543142
Northern Borders,2022,2223252267.97428,2421256118.23908,Random Forest,-198003850.264802,198003850.264802,3.92055247196863e+16,8.90604512663844
Riyadh,2022,48810487307.0705,53613354786.3778,Random Forest,-4802867479.30728,4802867479.30728,2.30675360237875e+19,9.83982693942815
Tabuk,2022,4872332817.51555,3557989951.42188,Random Forest,1314342866.09367,1314342866.09367,1.72749716965134e+18,26.9756380633264
