region,year,actual_consumption_kwh,predicted_consumption_kwh,absolute_error,absolute_percentage_error,model_used
Al-Jouf,2022,2507267037.83596,2455735430.04839,51531607.7875695,2.05528996353124,Random Forest
Al-Qassim,2022,8362301784.14925,9037229137.09649,674927352.947235,8.07107146296203,Random Forest
Northern Borders,2022,2223252267.97428,2421256118.23908,198003850.264802,8.90604512663844,Random Forest
Riyadh,2022,48810487307.0705,53613354786.3778,4802867479.30728,9.83982693942815,Random Forest
Najran,2022,2690828097.81257,2421256118.23908,269571979.573488,10.0181791543142,Random Forest
Al-Bahah,2022,2183105651.61369,2421256118.23908,238150466.625392,10.9087925474133,Random Forest
Madinah,2022,10720138906.4079,9230242585.16858,1489896321.23932,13.898106491407,Random Forest
Hail,2022,4470583610.30104,3628089086.29834,842494524.002695,18.8452917435977,Random Forest
Makkah,2022,41763390208.7803,51128955653.8766,9365565445.09628,22.4252997620085,Random Forest
Tabuk,2022,4872332817.51555,3557989951.42188,1314342866.09367,26.9756380633264,Random Forest
Eastern Region,2022,25890673713.5296,18033339793.024,7857333920.50558,30.3481246082816,Random Forest
Asir,2022,8973079379.17529,5754886909.74821,3218192469.42708,35.8649726970638,Random Forest
Jazan,2022,7837668188.78303,4967943245.91435,2869724942.86868,36.6145245466722,Random Forest
